2024-02-07 10:15.23 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.23 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.24 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.24 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.25 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.25 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.26 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.26 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.27 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.27 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.28 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.28 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.29 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.29 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.30 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.30 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.31 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.31 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.32 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.32 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.33 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.33 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.34 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.34 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.35 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.35 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.36 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.36 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.37 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.37 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.38 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.38 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.39 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.39 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.40 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.40 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.41 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.41 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.42 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.42 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.43 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.43 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.44 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.44 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.45 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.45 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.46 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.46 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.47 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.47 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.48 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.48 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.49 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.49 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.50 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.50 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.51 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.51 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.52 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.52 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.53 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.53 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.54 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.54 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.55 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.55 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.56 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.56 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.57 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.57 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.58 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.58 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.59 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:15.59 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.00 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.00 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.01 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.01 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.02 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.03 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.03 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.04 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.04 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.05 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.05 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.06 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.06 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.07 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.07 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.08 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.08 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.09 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.09 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.10 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.10 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.11 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.11 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.12 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.12 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.13 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.13 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.14 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.14 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.15 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.15 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.16 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.16 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.17 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.17 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.18 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.18 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.19 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.19 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.20 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.20 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.21 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.21 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.22 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.22 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.23 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.23 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.24 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.24 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.25 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.25 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.26 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.26 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.27 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.27 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.28 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.28 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.29 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.29 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.30 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.30 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.31 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.31 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.32 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.32 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.33 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.33 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.34 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.34 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.35 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.35 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.36 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.36 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.37 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.37 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.38 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.38 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.39 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.39 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.40 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.40 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.41 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.41 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.42 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.42 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.43 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.43 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.44 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.44 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.45 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.45 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.46 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.46 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.47 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.47 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.48 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.48 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.49 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.49 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.50 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.50 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.51 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.51 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.52 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.52 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.53 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.53 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.54 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.54 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.55 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.55 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.56 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.56 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.57 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.57 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.58 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.58 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.59 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:16.59 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.00 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.00 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.01 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.01 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.02 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.02 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.03 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.03 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.04 --- Fatal Error!, SPC Process Exiting...
2024-02-07 10:17.04 --- Fatal Error!, SPC Process Exiting...
