=== TCP1 - Processing Speed Tracker - Discrete Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
----------------------------------------------------------
Discrete	20	12 SPC Windows	05hz	1.085
Discrete	20	12 SPC Windows	05hz	1.3
Discrete	20	12 SPC Windows	05hz	1.084
Discrete	20	12 SPC Windows	05hz	7.158
Discrete	20	12 SPC Windows	05hz	6.043
Discrete	20	12 SPC Windows	05hz	7.181
Discrete	20	12 SPC Windows	05hz	5.326
Discrete	20	12 SPC Windows	05hz	7.18
Discrete	20	12 SPC Windows	05hz	14.078
Discrete	20	12 SPC Windows	05hz	3.576
Discrete	20	12 SPC Windows	05hz	9.169
Discrete	20	12 SPC Windows	05hz	4.89
Discrete	20	12 SPC Windows	05hz	8.914
Discrete	20	12 SPC Windows	05hz	0.985
Discrete	20	12 SPC Windows	05hz	1.012
Discrete	20	12 SPC Windows	05hz	0.854
Discrete	20	12 SPC Windows	05hz	1.013
Discrete	20	12 SPC Windows	05hz	0.894
Discrete	20	12 SPC Windows	05hz	1.0
Discrete	20	12 SPC Windows	05hz	0.91
Discrete	20	12 SPC Windows	05hz	0.774
Discrete	20	12 SPC Windows	05hz	1.014
Discrete	20	12 SPC Windows	05hz	3.805
Discrete	20	12 SPC Windows	05hz	6.069
Discrete	20	12 SPC Windows	05hz	2.687
Discrete	20	12 SPC Windows	05hz	8.65
Discrete	20	12 SPC Windows	05hz	7.298
Discrete	20	12 SPC Windows	05hz	6.035
Discrete	20	12 SPC Windows	05hz	4.485
Discrete	20	12 SPC Windows	05hz	4.214
Discrete	20	12 SPC Windows	05hz	3.847
Discrete	20	12 SPC Windows	05hz	3.247
Discrete	20	12 SPC Windows	05hz	4.859
Discrete	20	12 SPC Windows	05hz	10.841
Discrete	20	12 SPC Windows	05hz	4.206
Discrete	20	12 SPC Windows	05hz	5.385
Discrete	20	12 SPC Windows	05hz	5.306
Discrete	20	12 SPC Windows	05hz	4.418
Discrete	20	12 SPC Windows	05hz	7.424
Discrete	20	12 SPC Windows	05hz	33.904
Discrete	20	12 SPC Windows	05hz	7.797
Discrete	20	12 SPC Windows	05hz	4.12
Discrete	20	12 SPC Windows	05hz	5.832
Discrete	20	12 SPC Windows	05hz	7.668
Discrete	20	12 SPC Windows	05hz	3.865
Discrete	20	12 SPC Windows	05hz	2.525
Discrete	20	12 SPC Windows	05hz	5.27
Discrete	20	12 SPC Windows	05hz	25.154
Discrete	20	12 SPC Windows	05hz	3.93
Discrete	20	12 SPC Windows	05hz	7.721
Discrete	20	12 SPC Windows	05hz	10.891
Discrete	20	12 SPC Windows	05hz	4.3
Discrete	20	12 SPC Windows	05hz	8.888
Discrete	20	12 SPC Windows	05hz	4.504
Discrete	20	12 SPC Windows	05hz	6.073
Discrete	20	12 SPC Windows	05hz	5.864
Discrete	20	12 SPC Windows	05hz	5.091
Discrete	20	12 SPC Windows	05hz	4.271
Discrete	20	12 SPC Windows	05hz	4.848
Discrete	20	12 SPC Windows	05hz	5.644
Discrete	20	12 SPC Windows	05hz	6.212
Discrete	20	12 SPC Windows	05hz	8.694
Discrete	20	12 SPC Windows	05hz	4.987
Discrete	20	12 SPC Windows	05hz	4.387
Discrete	20	12 SPC Windows	05hz	5.687
Discrete	20	12 SPC Windows	05hz	4.578
Discrete	20	12 SPC Windows	05hz	4.406
Discrete	20	12 SPC Windows	05hz	4.448
Discrete	20	12 SPC Windows	05hz	7.434
Discrete	20	12 SPC Windows	05hz	4.191
Discrete	20	12 SPC Windows	05hz	4.425
Discrete	20	12 SPC Windows	05hz	7.254
Discrete	20	12 SPC Windows	05hz	5.416
Discrete	20	12 SPC Windows	05hz	7.983
Discrete	20	12 SPC Windows	05hz	5.738
Discrete	20	12 SPC Windows	05hz	4.543
Discrete	20	12 SPC Windows	05hz	17.295
Discrete	20	12 SPC Windows	05hz	4.425
Discrete	20	12 SPC Windows	05hz	4.158
Discrete	20	12 SPC Windows	05hz	5.458
Discrete	20	12 SPC Windows	05hz	15.581
Discrete	20	12 SPC Windows	05hz	5.32
Discrete	20	12 SPC Windows	05hz	4.106
Discrete	20	12 SPC Windows	05hz	13.065
Discrete	20	12 SPC Windows	05hz	22.122
Discrete	20	12 SPC Windows	05hz	3.605
Discrete	20	12 SPC Windows	05hz	3.454
Discrete	20	12 SPC Windows	05hz	1.978
Discrete	20	12 SPC Windows	05hz	1.712
Discrete	20	12 SPC Windows	05hz	1.306
Discrete	20	12 SPC Windows	05hz	1.212
Discrete	20	12 SPC Windows	05hz	1.077
Discrete	20	12 SPC Windows	05hz	1.404
Discrete	20	12 SPC Windows	05hz	1.047
