=== TCP1 - Processing Speed Tracker - Domino Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
Domino	20	10 + 2 VPlots	05hz	9.428
Domino	20	10 + 2 VPlots	05hz	8.207
Domino	20	10 + 2 VPlots	05hz	4.922
Domino	20	10 + 2 VPlots	05hz	11.592
Domino	20	10 + 2 VPlots	05hz	6.851
Domino	20	10 + 2 VPlots	05hz	8.838
Domino	20	10 + 2 VPlots	05hz	7.326
Domino	20	10 + 2 VPlots	05hz	3.784
Domino	20	10 + 2 VPlots	05hz	8.383
Domino	20	8 + 2 VPlot	05hz	1.24
Domino	20	8 + 2 VPlot	05hz	1.188
Domino	20	8 + 2 VPlot	05hz	1.096
Domino	20	8 + 2 VPlot	05hz	1.01
Domino	20	8 + 2 VPlot	05hz	2.422
Domino	20	8 + 2 VPlot	05hz	13.646
Domino	20	8 + 2 VPlot	05hz	9.122
Domino	20	8 + 2 VPlot	05hz	4.275
Domino	20	8 + 2 VPlot	05hz	3.621
Domino	20	8 + 2 VPlot	05hz	13.533
Domino	20	8 + 2 VPlot	05hz	4.066
Domino	20	8 + 2 VPlot	05hz	13.453
Domino	20	8 + 2 VPlot	05hz	7.001
Domino	20	8 + 2 VPlot	05hz	4.578
Domino	20	8 + 2 VPlot	05hz	9.862
Domino	20	8 + 2 VPlot	05hz	11.82
Domino	20	8 + 2 VPlot	05hz	6.502
Domino	20	8 + 2 VPlot	05hz	1.1
Domino	20	8 + 2 VPlot	05hz	14.491
Domino	20	8 + 2 VPlot	05hz	5.21
Domino	20	8 + 2 VPlot	05hz	4.259
Domino	20	8 + 2 VPlot	05hz	3.156
Domino	20	8 + 2 VPlot	05hz	3.916
Domino	20	8 + 2 VPlot	05hz	1.073
Domino	20	8 + 2 VPlot	05hz	3.177
Domino	20	8 + 2 VPlot	05hz	2.411
Domino	20	8 + 2 VPlot	05hz	1.603
Domino	20	8 + 2 VPlot	05hz	2.241
Domino	20	8 + 2 VPlot	05hz	3.385
Domino	20	8 + 2 VPlot	05hz	3.139
Domino	20	8 + 2 VPlot	05hz	13.068
Domino	20	10 + 2 VPlots	05hz	1.042
Domino	20	10 + 2 VPlots	05hz	2.47
Domino	20	10 + 2 VPlots	05hz	2.291
Domino	20	10 + 2 VPlots	05hz	2.654
Domino	20	10 + 2 VPlots	05hz	13.838
Domino	20	10 + 2 VPlots	05hz	14.126
Domino	20	10 + 2 VPlots	05hz	0.954
Domino	20	10 + 2 VPlots	05hz	2.814
Domino	20	10 + 2 VPlots	05hz	44.57
Domino	20	10 + 2 VPlots	05hz	9.785
Domino	20	10 + 2 VPlots	05hz	1.448
Domino	20	10 + 2 VPlots	05hz	1.774
Domino	20	10 + 2 VPlots	05hz	7.488
Domino	20	10 + 2 VPlots	05hz	31.539
Domino	20	10 + 2 VPlots	05hz	18.544
Domino	20	10 + 2 VPlots	05hz	16.916
Domino	20	10 + 2 VPlots	05hz	9.862
Domino	20	10 + 2 VPlots	05hz	1.851
Domino	20	10 + 2 VPlots	05hz	1.541
Domino	20	10 + 2 VPlots	05hz	1.332
Domino	20	10 + 2 VPlots	05hz	1.355
Domino	20	10 + 2 VPlots	05hz	1.001
Domino	20	10 + 2 VPlots	05hz	1.722
Domino	20	10 + 2 VPlots	05hz	4.235
Domino	20	10 + 2 VPlots	05hz	1.909
Domino	20	10 + 2 VPlots	05hz	1.62
Domino	20	10 + 2 VPlots	05hz	1.605
Domino	20	10 + 2 VPlots	05hz	1.197
Domino	20	10 + 2 VPlots	05hz	1.284
Domino	20	10 + 2 VPlots	05hz	1.144
Domino	20	10 + 2 VPlots	05hz	0.923
Domino	20	10 + 2 VPlots	05hz	5.983
Domino	20	10 + 2 VPlots	05hz	38.051
Domino	20	10 + 2 VPlots	05hz	7.757
Domino	20	10 + 2 VPlots	05hz	2.236
Domino	20	10 + 2 VPlots	05hz	2.101
Domino	20	10 + 2 VPlots	05hz	1.569
Domino	20	10 + 2 VPlots	05hz	2.296
Domino	20	10 + 2 VPlots	05hz	3.4
Domino	20	10 + 2 VPlots	05hz	2.659
Domino	20	10 + 2 VPlots	05hz	2.061
Domino	20	10 + 2 VPlots	05hz	2.271
Domino	20	10 + 2 VPlots	05hz	6.528
Domino	20	10 + 2 VPlots	05hz	2.354
Domino	20	10 + 2 VPlots	05hz	2.886
Domino	20	10 + 2 VPlots	05hz	3.019
Domino	20	10 + 2 VPlots	05hz	1.853
Domino	20	10 + 2 VPlots	05hz	1.223
Domino	20	10 + 2 VPlots	05hz	4.251
Domino	20	10 + 2 VPlots	05hz	8.503
Domino	20	10 + 2 VPlots	05hz	11.296
Domino	20	10 + 2 VPlots	05hz	12.802
Domino	20	10 + 2 VPlots	05hz	8.169
Domino	20	10 + 2 VPlots	05hz	4.289
Domino	20	10 + 2 VPlots	05hz	37.054
Domino	20	10 + 2 VPlots	05hz	6.47
Domino	20	10 + 2 VPlots	05hz	6.623
Domino	20	10 + 2 VPlots	05hz	1.921
Domino	20	10 + 2 VPlots	05hz	1.852
Domino	20	10 + 2 VPlots	05hz	2.638
Domino	20	10 + 2 VPlots	05hz	4.802
Domino	20	10 + 2 VPlots	05hz	2.421
Domino	20	10 + 2 VPlots	05hz	19.392
Domino	20	10 + 2 VPlots	05hz	18.484
Domino	20	10 + 2 VPlots	05hz	6.298
Domino	20	10 + 2 VPlots	05hz	27.594
Domino	20	10 + 2 VPlots	05hz	14.002
Domino	20	10 + 2 VPlots	05hz	3.753
Domino	20	10 + 2 VPlots	05hz	13.872
Domino	20	10 + 2 VPlots	05hz	1.496
Domino	20	10 + 2 VPlots	05hz	1.542
Domino	20	10 + 2 VPlots	05hz	1.372
Domino	20	10 + 2 VPlots	05hz	1.615
Domino	20	10 + 2 VPlots	05hz	1.7
Domino	20	10 + 2 VPlots	05hz	2.883
Domino	20	10 + 2 VPlots	05hz	15.272
Domino	20	10 + 2 VPlots	05hz	8.703
Domino	20	10 + 2 VPlots	05hz	10.423
Domino	20	10 + 2 VPlots	05hz	12.561
Domino	20	10 + 2 VPlots	05hz	1.21
Domino	20	10 + 2 VPlots	05hz	5.457
Domino	20	10 + 2 VPlots	05hz	10.401
Domino	20	10 + 2 VPlots	05hz	11.367
Domino	20	10 + 2 VPlots	05hz	14.746
Domino	20	10 + 2 VPlots	05hz	14.663
Domino	20	10 + 2 VPlots	05hz	24.153
Domino	20	10 + 2 VPlots	05hz	8.447
Domino	20	10 + 2 VPlots	05hz	13.788
Domino	20	10 + 2 VPlots	05hz	9.187
Domino	20	10 + 2 VPlots	05hz	54.818
Domino	20	10 + 2 VPlots	05hz	8.65
Domino	20	10 + 2 VPlots	05hz	5.71
Domino	20	10 + 2 VPlots	05hz	1.631
Domino	20	10 + 2 VPlots	05hz	2.01
Domino	20	10 + 2 VPlots	05hz	2.775
Domino	20	10 + 2 VPlots	05hz	6.252
Domino	20	10 + 2 VPlots	05hz	2.332
Domino	20	10 + 2 VPlots	05hz	12.984
Domino	20	10 + 2 VPlots	05hz	17.21
Domino	20	10 + 2 VPlots	05hz	18.925
Domino	20	10 + 2 VPlots	05hz	6.741
Domino	20	10 + 2 VPlots	05hz	15.499
Domino	20	10 + 2 VPlots	05hz	20.537
Domino	20	10 + 2 VPlots	05hz	13.738
Domino	20	10 + 2 VPlots	05hz	14.222
Domino	20	8 + 2 VPlot	05hz	0.896
Domino	20	8 + 2 VPlot	05hz	1.105
Domino	20	8 + 2 VPlot	05hz	1.293
Domino	20	8 + 2 VPlot	05hz	1.062
Domino	20	8 + 2 VPlot	05hz	1.773
Domino	20	8 + 2 VPlot	05hz	2.16
Domino	20	8 + 2 VPlot	05hz	1.172
Domino	20	8 + 2 VPlot	05hz	1.253
Domino	20	8 + 2 VPlot	05hz	6.764
Domino	20	8 + 2 VPlot	05hz	8.845
Domino	20	8 + 2 VPlot	05hz	5.38
Domino	20	8 + 2 VPlot	05hz	7.338
Domino	20	8 + 2 VPlot	05hz	11.619
Domino	20	8 + 2 VPlot	05hz	5.07
Domino	20	8 + 2 VPlot	05hz	6.369
Domino	20	8 + 2 VPlot	05hz	9.494
Domino	20	8 + 2 VPlot	05hz	9.622
Domino	20	8 + 2 VPlot	05hz	5.541
Domino	20	8 + 2 VPlot	05hz	5.96
Domino	20	8 + 2 VPlot	05hz	22.574
Domino	20	8 + 2 VPlot	05hz	9.027
Domino	20	8 + 2 VPlot	05hz	21.431
Domino	20	8 + 2 VPlot	05hz	3.808
Domino	20	8 + 2 VPlot	05hz	4.282
Domino	20	8 + 2 VPlot	05hz	0.807
Domino	20	8 + 2 VPlot	05hz	0.742
Domino	20	8 + 2 VPlot	05hz	7.95
Domino	20	8 + 2 VPlot	05hz	4.014
Domino	20	8 + 2 VPlot	05hz	7.612
Domino	20	8 + 2 VPlot	05hz	3.691
Domino	20	8 + 2 VPlot	05hz	7.816
Domino	20	8 + 2 VPlot	05hz	4.369
Domino	20	8 + 2 VPlot	05hz	4.222
Domino	20	8 + 2 VPlot	05hz	15.659
Domino	20	8 + 2 VPlot	05hz	4.803
Domino	20	8 + 2 VPlot	05hz	3.594
Domino	20	8 + 2 VPlot	05hz	2.152
Domino	20	8 + 2 VPlot	05hz	15.017
Domino	20	8 + 2 VPlot	05hz	10.204
Domino	20	8 + 2 VPlot	05hz	15.198
Domino	20	8 + 2 VPlot	05hz	21.205
Domino	20	8 + 2 VPlot	05hz	34.067
Domino	20	8 + 2 VPlot	05hz	38.639
Domino	20	8 + 2 VPlot	05hz	27.539
Domino	20	8 + 2 VPlot	05hz	17.934
Domino	20	8 + 2 VPlot	05hz	12.966
Domino	20	8 + 2 VPlot	05hz	15.86
Domino	20	8 + 2 VPlot	05hz	17.518
Domino	20	8 + 2 VPlot	05hz	13.492
Domino	20	8 + 2 VPlot	05hz	1.17
Domino	20	8 + 2 VPlot	05hz	1.074
Domino	20	8 + 2 VPlot	05hz	1.828
Domino	20	8 + 2 VPlot	05hz	3.225
Domino	20	8 + 2 VPlot	05hz	1.206
Domino	20	8 + 2 VPlot	05hz	1.105
Domino	20	8 + 2 VPlot	05hz	1.181
Domino	20	8 + 2 VPlot	05hz	1.121
Domino	20	8 + 2 VPlot	05hz	1.214
Domino	20	8 + 2 VPlot	05hz	1.467
Domino	20	8 + 2 VPlot	05hz	4.231
Domino	20	8 + 2 VPlot	05hz	1.257
Domino	20	8 + 2 VPlot	05hz	1.201
Domino	20	8 + 2 VPlot	05hz	1.071
Domino	20	8 + 2 VPlot	05hz	11.496
Domino	20	8 + 2 VPlot	05hz	10.375
Domino	20	8 + 2 VPlot	05hz	9.366
Domino	20	8 + 2 VPlot	05hz	12.524
Domino	20	8 + 2 VPlot	05hz	12.521
Domino	20	8 + 2 VPlot	05hz	7.204
Domino	20	8 + 2 VPlot	05hz	0.906
Domino	20	8 + 2 VPlot	05hz	6.845
Domino	20	8 + 2 VPlot	05hz	1.071
Domino	20	8 + 2 VPlot	05hz	1.128
Domino	20	8 + 2 VPlot	05hz	1.776
Domino	20	8 + 2 VPlot	05hz	2.593
Domino	20	8 + 2 VPlot	05hz	15.181
Domino	20	8 + 2 VPlot	05hz	8.995
Domino	20	8 + 2 VPlot	05hz	9.831
Domino	20	8 + 2 VPlot	05hz	6.231
Domino	20	8 + 2 VPlot	05hz	6.926
Domino	20	8 + 2 VPlot	05hz	5.087
Domino	20	8 + 2 VPlot	05hz	9.152
Domino	20	8 + 2 VPlot	05hz	4.319
Domino	20	8 + 2 VPlot	05hz	7.099
Domino	20	8 + 2 VPlot	05hz	8.001
Domino	20	8 + 2 VPlot	05hz	5.827
Domino	20	8 + 2 VPlot	05hz	0.693
Domino	20	8 + 2 VPlot	05hz	5.614
Domino	20	8 + 2 VPlot	05hz	0.977
Domino	20	8 + 2 VPlot	05hz	14.247
Domino	20	8 + 2 VPlot	05hz	2.464
Domino	20	8 + 2 VPlot	05hz	12.868
Domino	20	8 + 2 VPlot	05hz	0.738
Domino	20	8 + 2 VPlot	05hz	3.687
Domino	20	8 + 2 VPlot	05hz	0.656
Domino	20	8 + 2 VPlot	05hz	0.569
Domino	20	8 + 2 VPlot	05hz	1.118
Domino	20	8 + 2 VPlot	05hz	1.164
Domino	20	8 + 2 VPlot	05hz	0.913
Domino	20	8 + 2 VPlot	05hz	8.712
Domino	20	8 + 2 VPlot	05hz	4.676
Domino	20	8 + 2 VPlot	05hz	4.925
Domino	20	8 + 2 VPlot	05hz	16.144
Domino	20	8 + 2 VPlot	05hz	7.322
Domino	20	8 + 2 VPlot	05hz	6.529
Domino	20	8 + 2 VPlot	05hz	6.218
Domino	20	8 + 2 VPlot	05hz	6.093
Domino	20	8 + 2 VPlot	05hz	14.314
Domino	20	8 + 2 VPlot	05hz	7.925
Domino	20	8 + 2 VPlot	05hz	4.771
Domino	20	8 + 2 VPlot	05hz	14.1
Domino	20	8 + 2 VPlot	05hz	9.572
Domino	20	8 + 2 VPlot	05hz	22.372
Domino	20	8 + 2 VPlot	05hz	9.818
Domino	20	8 + 2 VPlot	05hz	6.959
Domino	20	8 + 2 VPlot	05hz	1.066
Domino	20	8 + 2 VPlot	05hz	1.171
Domino	20	8 + 2 VPlot	05hz	4.475
Domino	20	8 + 2 VPlot	05hz	1.379
Domino	20	8 + 2 VPlot	05hz	0.655
Domino	20	8 + 2 VPlot	05hz	4.129
Domino	20	8 + 2 VPlot	05hz	5.146
Domino	20	8 + 2 VPlot	05hz	8.834
Domino	20	8 + 2 VPlot	05hz	4.179
Domino	20	8 + 2 VPlot	05hz	9.172
Domino	20	8 + 2 VPlot	05hz	3.732
Domino	20	8 + 2 VPlot	05hz	8.315
Domino	20	8 + 2 VPlot	05hz	4.629
Domino	20	8 + 2 VPlot	05hz	7.625
Domino	20	8 + 2 VPlot	05hz	5.402
Domino	20	8 + 2 VPlot	05hz	8.126
Domino	20	8 + 2 VPlot	05hz	9.025
Domino	20	8 + 2 VPlot	05hz	8.683
Domino	20	8 + 2 VPlot	05hz	23.996
Domino	20	8 + 2 VPlot	05hz	4.833
Domino	20	8 + 2 VPlot	05hz	12.322
Domino	20	8 + 2 VPlot	05hz	6.773
Domino	20	8 + 2 VPlot	05hz	11.468
Domino	20	8 + 2 VPlot	05hz	7.088
Domino	20	8 + 2 VPlot	05hz	6.356
Domino	20	8 + 2 VPlot	05hz	8.828
Domino	20	8 + 2 VPlot	05hz	6.929
Domino	20	8 + 2 VPlot	05hz	8.236
Domino	20	8 + 2 VPlot	05hz	6.784
Domino	20	8 + 2 VPlot	05hz	9.707
Domino	20	8 + 2 VPlot	05hz	6.765
Domino	20	8 + 2 VPlot	05hz	6.939
Domino	20	8 + 2 VPlot	05hz	9.816
Domino	20	8 + 2 VPlot	05hz	10.511
Domino	20	8 + 2 VPlot	05hz	11.309
Domino	20	8 + 2 VPlot	05hz	4.394
Domino	20	8 + 2 VPlot	05hz	25.923
Domino	20	8 + 2 VPlot	05hz	9.275
Domino	20	8 + 2 VPlot	05hz	7.218
Domino	20	8 + 2 VPlot	05hz	8.114
Domino	20	8 + 2 VPlot	05hz	6.725
Domino	20	8 + 2 VPlot	05hz	7.044
Domino	20	8 + 2 VPlot	05hz	9.203
Domino	20	8 + 2 VPlot	05hz	8.805
Domino	20	8 + 2 VPlot	05hz	17.415
Domino	20	8 + 2 VPlot	05hz	10.758
Domino	20	8 + 2 VPlot	05hz	9.132
Domino	20	8 + 2 VPlot	05hz	9.092
Domino	20	8 + 2 VPlot	05hz	10.108
Domino	20	8 + 2 VPlot	05hz	5.008
Domino	20	8 + 2 VPlot	05hz	8.225
Domino	20	8 + 2 VPlot	05hz	7.165
Domino	20	8 + 2 VPlot	05hz	10.339
Domino	20	8 + 2 VPlot	05hz	8.671
Domino	20	8 + 2 VPlot	05hz	10.469
Domino	20	8 + 2 VPlot	05hz	10.352
Domino	20	8 + 2 VPlot	05hz	8.485
Domino	20	8 + 2 VPlot	05hz	10.074
Domino	20	8 + 2 VPlot	05hz	9.244
Domino	20	8 + 2 VPlot	05hz	4.991
