=== TCP1 - Processing Speed Tracker - Discrete Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
----------------------------------------------------------
Discrete	20	8 + 1 VPlot	5hz	0.526
Discrete	20	8 + 1 VPlot	5hz	0.362
Discrete	20	8 + 1 VPlot	5hz	0.408
Discrete	20	8 + 1 VPlot	5hz	0.363
Discrete	20	8 + 1 VPlot	5hz	0.543
Discrete	20	8 + 1 VPlot	5hz	0.402
Discrete	20	8 + 1 VPlot	5hz	0.397
Discrete	20	8 + 1 VPlot	5hz	0.488
Discrete	20	8 + 1 VPlot	5hz	0.384
Discrete	20	8 + 1 VPlot	5hz	0.508
Discrete	20	8 + 1 VPlot	5hz	0.483
Discrete	20	8 + 1 VPlot	5hz	0.58
Discrete	20	8 + 1 VPlot	5hz	0.584
Discrete	20	8 + 1 VPlot	5hz	1.367
Discrete	20	8 + 1 VPlot	5hz	1.323
Discrete	20	8 + 1 VPlot	5hz	1.32
Discrete	20	8 + 1 VPlot	5hz	1.841
Discrete	20	8 + 1 VPlot	5hz	1.216
Discrete	20	8 + 1 VPlot	5hz	1.624
Discrete	20	8 + 1 VPlot	5hz	1.715
Discrete	20	8 + 1 VPlot	5hz	1.569
Discrete	20	8 + 1 VPlot	5hz	1.482
Discrete	20	8 + 1 VPlot	5hz	4.672
Discrete	20	8 + 1 VPlot	5hz	1.72
Discrete	20	8 + 1 VPlot	5hz	1.84
Discrete	20	8 + 1 VPlot	5hz	1.333
Discrete	20	8 + 1 VPlot	5hz	2.356
Discrete	20	8 + 1 VPlot	5hz	4.733
Discrete	20	8 + 1 VPlot	5hz	1.763
Discrete	20	8 + 1 VPlot	5hz	1.261
Discrete	20	8 + 1 VPlot	5hz	1.824
Discrete	20	8 + 1 VPlot	5hz	1.936
Discrete	20	8 + 1 VPlot	5hz	1.339
Discrete	20	8 + 1 VPlot	5hz	1.594
Discrete	20	8 + 1 VPlot	5hz	11.469
Discrete	20	8 + 1 VPlot	5hz	1.737
Discrete	20	8 + 1 VPlot	5hz	12.161
Discrete	20	8 + 1 VPlot	5hz	3.996
Discrete	20	8 + 1 VPlot	5hz	2.429
Discrete	20	8 + 1 VPlot	5hz	2.15
Discrete	20	8 + 1 VPlot	5hz	4.991
Discrete	20	8 + 1 VPlot	5hz	1.773
Discrete	20	8 + 1 VPlot	5hz	1.938
Discrete	20	8 + 1 VPlot	5hz	2.216
Discrete	20	8 + 1 VPlot	5hz	1.803
Discrete	20	8 + 1 VPlot	5hz	5.487
Discrete	20	8 + 1 VPlot	5hz	2.357
Discrete	20	8 + 1 VPlot	5hz	2.36
Discrete	20	8 + 1 VPlot	5hz	1.658
Discrete	20	8 + 1 VPlot	5hz	2.768
Discrete	20	8 + 1 VPlot	5hz	12.141
Discrete	20	8 + 1 VPlot	5hz	3.971
Discrete	20	8 + 1 VPlot	5hz	2.01
Discrete	20	8 + 1 VPlot	5hz	2.317
Discrete	20	8 + 1 VPlot	5hz	5.178
Discrete	20	8 + 1 VPlot	5hz	1.772
Discrete	20	8 + 1 VPlot	5hz	2.49
Discrete	20	8 + 1 VPlot	5hz	1.911
Discrete	20	8 + 1 VPlot	5hz	12.087
Discrete	20	8 + 1 VPlot	5hz	12.517
Discrete	20	8 + 1 VPlot	5hz	1.538
Discrete	20	8 + 1 VPlot	5hz	3.259
Discrete	20	8 + 1 VPlot	5hz	1.946
Discrete	20	8 + 1 VPlot	5hz	1.448
Discrete	20	8 + 1 VPlot	5hz	5.384
Discrete	20	8 + 1 VPlot	5hz	2.163
Discrete	20	8 + 1 VPlot	5hz	2.131
Discrete	20	8 + 1 VPlot	5hz	1.947
Discrete	20	8 + 1 VPlot	5hz	5.744
Discrete	20	8 + 1 VPlot	5hz	1.928
Discrete	20	8 + 1 VPlot	5hz	2.179
Discrete	20	8 + 1 VPlot	5hz	2.31
Discrete	20	8 + 1 VPlot	5hz	11.867
Discrete	20	8 + 1 VPlot	5hz	11.977
Discrete	20	8 + 1 VPlot	5hz	5.403
Discrete	20	8 + 1 VPlot	5hz	2.2
Discrete	20	8 + 1 VPlot	5hz	1.98
Discrete	20	8 + 1 VPlot	5hz	12.155
Discrete	20	8 + 1 VPlot	5hz	2.5
Discrete	20	8 + 1 VPlot	5hz	2.24
Discrete	20	8 + 1 VPlot	5hz	2.506
Discrete	20	8 + 1 VPlot	5hz	2.789
Discrete	20	8 + 1 VPlot	5hz	4.104
Discrete	20	8 + 1 VPlot	5hz	2.024
Discrete	20	8 + 1 VPlot	5hz	1.385
Discrete	20	8 + 1 VPlot	5hz	2.754
Discrete	20	8 + 1 VPlot	5hz	2.721
Discrete	20	8 + 1 VPlot	5hz	1.789
Discrete	20	8 + 1 VPlot	5hz	12.907
Discrete	20	8 + 1 VPlot	5hz	11.733
Discrete	20	8 + 1 VPlot	5hz	4.719
Discrete	20	8 + 1 VPlot	5hz	3.223
Discrete	20	8 + 1 VPlot	5hz	2.119
Discrete	20	8 + 1 VPlot	5hz	2.267
Discrete	20	8 + 1 VPlot	5hz	1.504
Discrete	20	8 + 1 VPlot	5hz	5.372
Discrete	20	8 + 1 VPlot	5hz	2.775
Discrete	20	8 + 1 VPlot	5hz	2.686
Discrete	20	8 + 1 VPlot	5hz	2.591
