================================= TCP01 - Realtime Index Tracker =============================
Time		Layer#	T1Row	T2Row	T3Row	T4Row	T5Row	T6Row	T7Row	T8Row	EstPos
----------------------------------------------------------------------------------------------
11:52.45	[1]	2	2	2	2	2	2	2	2	N
11:52.48	[1]	3	3	3	3	3	3	3	3	N
11:52.50	[1]	4	4	4	4	4	4	4	4	N
11:52.53	[1]	5	5	5	5	5	5	5	5	N
11:52.54	[1]	6	6	6	6	6	6	6	6	N
11:52.55	[1]	7	7	7	7	7	7	7	7	N
11:52.57	[1]	8	8	8	8	8	8	8	8	N
11:53.00	[1]	9	9	9	9	9	9	9	9	N
11:53.02	[1]	10	10	10	10	10	10	10	10	N
11:53.03	[1]	11	11	11	11	11	11	11	11	N
11:53.05	[1]	12	12	12	12	12	12	12	12	N
11:53.07	[1]	13	13	13	13	13	13	13	13	N
11:53.09	[1]	14	14	14	14	14	14	14	14	N
11:53.10	[1]	15	15	15	15	15	15	15	15	N
11:53.13	[1]	16	16	16	16	16	16	16	16	N
11:53.16	[1]	17	17	17	17	17	17	17	17	N
11:53.21	[1]	18	18	18	18	18	18	18	18	N
11:53.27	[1]	19	19	19	19	19	19	19	19	N
11:53.36	[1]	20	20	20	20	20	20	20	20	N
11:53.40	[1]	21	21	21	21	21	21	21	21	N
11:53.46	[1]	22	22	22	22	22	22	22	22	N
11:53.53	[1]	23	23	23	23	23	23	23	23	N
11:53.58	[1]	24	24	24	24	24	24	24	24	N
11:54.05	[1]	25	25	25	25	25	25	25	25	N
11:54.12	[1]	26	26	26	26	26	26	26	26	N
11:54.16	[1]	27	27	27	27	27	27	27	27	N
11:54.20	[1]	28	28	28	28	28	28	28	28	N
11:54.28	[1]	29	29	29	29	29	29	29	29	N
11:54.32	[1]	30	30	30	30	30	30	30	30	N
11:54.36	[1]	31	31	31	31	31	31	31	31	N
11:54.41	[1]	32	32	32	32	32	32	32	32	N
11:54.56	[1]	33	33	33	33	33	33	33	33	N
11:55.02	[1]	34	34	34	34	34	34	34	34	N
11:55.08	[1]	35	35	35	35	35	35	35	35	N
11:55.14	[1]	36	36	36	36	36	36	36	36	N
11:55.20	[1]	37	37	37	37	37	37	37	37	N
11:55.27	[1]	38	38	38	38	38	38	38	38	N
11:55.31	[1]	39	39	39	39	39	39	39	39	N
11:55.36	[1]	40	40	40	40	40	40	40	40	N
11:55.44	[1]	41	41	41	41	41	41	41	41	N
11:55.50	[1]	42	42	42	42	42	42	42	42	N
11:55.59	[1]	43	43	43	43	43	43	43	43	N
11:56.04	[1]	44	44	44	44	44	44	44	44	N
11:56.09	[1]	45	45	45	45	45	45	45	45	N
11:56.16	[1]	46	46	46	46	46	46	46	46	N
11:56.20	[1]	47	47	47	47	47	47	47	47	N
11:56.25	[1]	48	48	48	48	48	48	48	48	N
11:56.32	[1]	49	49	49	49	49	49	49	49	N
11:56.37	[1]	50	50	50	50	50	50	50	50	N
11:56.41	[1]	51	51	51	51	51	51	51	51	N
11:56.45	[1]	52	52	52	52	52	52	52	52	N
11:59.16	[1]	54	54	54	54	54	54	54	54	N
11:59.19	[1]	55	55	55	55	55	55	55	55	N
11:59.21	[1]	56	56	56	56	56	56	56	56	N
11:59.24	[1]	57	57	57	57	57	57	57	57	N
11:59.26	[1]	58	58	58	58	58	58	58	58	N
13:05.29	[1]	60	60	60	60	60	60	60	60	N
13:05.32	[1]	61	61	61	61	61	61	61	61	N
13:05.35	[1]	62	62	62	62	62	62	62	62	N
13:05.38	[1]	63	63	63	63	63	63	63	63	N
13:05.41	[1]	64	64	64	64	64	64	64	64	N
13:05.44	[1]	65	65	65	65	65	65	65	65	N
